unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"1775CCF6-DC80-38BA-E063-4704A8C05A7C","1420800","2023-06-06","EC3A 7AB","F","Y","L","APARTMENT 2904","80","HOUNDSDITCH","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/1775CCF6-DC80-38BA-E063-4704A8C05A7C/current"
"FFA361DA-80AE-8A03-E053-4804A8C01F61","2852000","2023-03-10","EC3A 7AB","F","Y","L","APARTMENT 3504","80","HOUNDSDITCH","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/FFA361DA-80AE-8A03-E053-4804A8C01F61/current"
"1775CCF7-F68D-38BA-E063-4704A8C05A7C","945882","2023-09-06","EC3N 1DE","F","N","L","FLAT 3","27","MINORIES","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/1775CCF7-F68D-38BA-E063-4704A8C05A7C/current"
"1775CCF7-F690-38BA-E063-4704A8C05A7C","968405","2023-09-06","EC3N 1DE","F","N","L","FLAT 7","27","MINORIES","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/1775CCF7-F690-38BA-E063-4704A8C05A7C/current"
"152AB734-87D6-E651-E063-4704A8C061D9","675577","2023-08-03","EC3N 1DE","F","N","L","FLAT 8","27","MINORIES","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/152AB734-87D6-E651-E063-4704A8C061D9/current"
"0E082197-784D-5C09-E063-4704A8C0A10E","1662975","2023-09-01","EC3N 1DE","F","N","L","FLAT 9","27","MINORIES","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/0E082197-784D-5C09-E063-4704A8C0A10E/current"
"0B853950-C4AA-69A5-E063-4704A8C07DAC","643000","2023-09-28","EC3N 1JJ","O","N","L","","48 - 50","MINORIES","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/0B853950-C4AA-69A5-E063-4704A8C07DAC/current"
"0E082197-154E-5C09-E063-4704A8C0A10E","720000","2023-10-06","EC3N 1NT","F","N","L","FLAT 12","FENCHURCH HOUSE, 136 - 138","MINORIES","","LONDON","CITY OF LONDON","GREATER LONDON","A","http://landregistry.data.gov.uk/data/ppi/transaction/0E082197-154E-5C09-E063-4704A8C0A10E/current"
"045A1899-60A3-9A24-E063-4804A8C048EA","101790000","2023-08-03","EC3N 2EJ","O","N","F","","FRIARY COURT","NORTHUMBERLAND ALLEY","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/045A1899-60A3-9A24-E063-4804A8C048EA/current"
"0E082197-7827-5C09-E063-4704A8C0A10E","5625000","2023-12-01","EC3N 2LY","O","N","L","","6 - 7","CRESCENT","","LONDON","CITY OF LONDON","GREATER LONDON","B","http://landregistry.data.gov.uk/data/ppi/transaction/0E082197-7827-5C09-E063-4704A8C0A10E/current"
